passer_name,team_name,n_passes,mean_tiv,total_tiv,mean_lbs,mean_sgm,mean_sdi,final_third_prob,box_entry_prob,shot_prob,goal_prob,circulatory,destabilising,line_breaking,space_expanding,dominant_pass_type,player_label
Hasan Al-Haydos,Qatar,35,0.33321158775768617,11.662405571519015,0.0,2.7434127621440583,32.30235478701301,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.0,0.05714285714285714,0.34285714285714286,0.2857142857142857,0.3142857142857143,destabilising,Hasan Al-Haydos (Qatar)
Mohammed Al-Burayk,Saudi Arabia,24,0.4812006913069868,11.548816591367682,2.3333333333333335,1.4124503892776368,44.02539202462122,0.16666666666666666,0.041666666666666664,0.0,0.0,0.125,0.3333333333333333,0.5416666666666666,0.0,line_breaking,Mohammed Al-Burayk (Saudi Arabia)
Andreas Christensen,Denmark,220,0.0508662632343599,11.190577911559178,0.9681818181818181,1.7259993512726512,19.812335449793384,0.12727272727272726,0.01818181818181818,0.00909090909090909,0.0,0.40454545454545454,0.2681818181818182,0.1590909090909091,0.16818181818181818,circulatory,Andreas Christensen (Denmark)
Kyung-won Kwon,South Korea,38,0.2920971704242175,11.099692476120266,1.631578947368421,3.3379652636470993,28.027273875598087,0.21052631578947367,0.02631578947368421,0.0,0.0,0.34210526315789475,0.18421052631578946,0.15789473684210525,0.3157894736842105,circulatory,Kyung-won Kwon (South Korea)
Ismail Jakobs,Senegal,58,0.18666825466298131,10.826758770452916,1.3275862068965518,1.5337743930227405,25.230829875391873,0.06896551724137931,0.0,0.0,0.0,0.25862068965517243,0.25862068965517243,0.3103448275862069,0.1724137931034483,line_breaking,Ismail Jakobs (Senegal)
Collins Fai,Cameroon,64,0.16873413936899728,10.798984919615826,1.71875,1.0281568281913702,29.367696093039743,0.140625,0.03125,0.09375,0.015625,0.265625,0.25,0.375,0.109375,line_breaking,Collins Fai (Cameroon)
Antonio Silva,Portugal,51,0.21108003544745785,10.76508180782035,1.1568627450980393,1.8098420929709271,25.920360729946516,0.058823529411764705,0.0392156862745098,0.0,0.0,0.23529411764705882,0.35294117647058826,0.19607843137254902,0.21568627450980393,destabilising,Antonio Silva (Portugal)
David Raum,Germany,85,0.126325460181225,10.737664115404126,0.4470588235294118,1.1617306283256992,31.35624003796789,0.058823529411764705,0.023529411764705882,0.09411764705882353,0.0,0.2235294117647059,0.4235294117647059,0.24705882352941178,0.10588235294117647,destabilising,David Raum (Germany)
Nader Ghandri,Tunisia,27,0.39618549194204367,10.69700828243518,1.0,2.163580376327165,35.460834249158246,0.037037037037037035,0.07407407407407407,0.0,0.0,0.18518518518518517,0.48148148148148145,0.14814814814814814,0.18518518518518517,destabilising,Nader Ghandri (Tunisia)
Nampalys Mendy,Senegal,120,0.08862462072455751,10.634954486946901,1.175,1.3917003302372464,22.881715943560607,0.09166666666666666,0.008333333333333333,0.05,0.0,0.3,0.325,0.275,0.1,destabilising,Nampalys Mendy (Senegal)
Frenkie de Jong,Netherlands,254,0.041175026064191295,10.458456620304588,-0.047244094488188976,1.7778861657275848,26.31728418915534,0.03543307086614173,0.06299212598425197,0.03937007874015748,0.007874015748031496,0.3228346456692913,0.3425196850393701,0.16141732283464566,0.1732283464566929,destabilising,Frenkie de Jong (Netherlands)
Marcelo Brozovic,Croatia,405,0.0250727769089095,10.154474648108348,0.14814814814814814,2.037395397175383,21.369836978675647,0.0962962962962963,0.012345679012345678,0.037037037037037035,0.0049382716049382715,0.3012345679012346,0.29876543209876544,0.1654320987654321,0.2345679012345679,circulatory,Marcelo Brozovic (Croatia)
Yeltsin Tejeda,Costa Rica,64,0.1523873477992867,9.752790259154349,-0.46875,2.0077870980639454,26.552324740056825,0.0,0.0,0.015625,0.015625,0.21875,0.515625,0.109375,0.15625,destabilising,Yeltsin Tejeda (Costa Rica)
Félix Torres,Ecuador,147,0.06557666813329982,9.639770215595073,1.4761904761904763,1.5255416319262347,19.83185230859613,0.08843537414965986,0.006802721088435374,0.0,0.0,0.42857142857142855,0.22448979591836735,0.24489795918367346,0.10204081632653061,circulatory,Félix Torres (Ecuador)
Mateo Kovacic,Croatia,311,0.03033303338563385,9.433573382932128,-0.7491961414790996,2.0747205058405855,26.404147994153746,0.05787781350482315,0.012861736334405145,0.05466237942122187,0.006430868167202572,0.26688102893890675,0.34726688102893893,0.14790996784565916,0.2379421221864952,destabilising,Mateo Kovacic (Croatia)
Nuno Mendes,Portugal,24,0.38545431192813573,9.250903486275257,2.25,0.7967259009410816,38.71294958522724,0.08333333333333333,0.125,0.08333333333333333,0.0,0.08333333333333333,0.375,0.5416666666666666,0.0,line_breaking,Nuno Mendes (Portugal)
Luke Shaw,England,259,0.03506324213703023,9.08137971349083,0.8378378378378378,1.484165673669759,20.401037648122156,0.0694980694980695,0.03474903474903475,0.03088803088803089,0.007722007722007722,0.3552123552123552,0.2702702702702703,0.25096525096525096,0.12355212355212356,circulatory,Luke Shaw (England)
