passer_name,receiver_name,team_name,duo_passes,duo_mean_tiv,duo_total_tiv,mean_lbs,mean_sgm,mean_sdi,final_third_prob,box_entry_prob,shot_prob,goal_prob,passer_n_passes,passer_mean_tiv,passer_total_tiv,delta_tiv,duo_label,is_stable_duo
Ali Al-Bulayhi,Firas Al-Buraikan,Saudi Arabia,1,1.0269570537800168,1.0269570537800168,7.0,0.2378970131091132,87.9986236363636,0.0,0.0,0.0,0.0,58,0.12397075069755559,7.190303540458224,0.9029863030824612,Ali Al-Bulayhi → Firas Al-Buraikan,False
Aurélien Tchouaméni,Olivier Giroud,France,5,0.9651570998328605,4.8257854991643025,4.6,2.1740772076250643,33.38787689090909,0.0,0.0,0.2,0.0,330,0.06299874150377142,20.78958469624457,0.9021583583290891,Aurélien Tchouaméni → Olivier Giroud,False
Angelo Preciado,Alan Franco,Ecuador,1,0.9879047069049288,0.9879047069049288,5.0,0.9700239683901664,70.59079050000004,0.0,0.0,0.0,0.0,53,0.08657731439886626,4.588597663139912,0.9013273925060625,Angelo Preciado → Alan Franco,False
Jordan Ayew,Mohammed Kudus,Ghana,1,0.3353334912507499,0.3353334912507499,1.0,0.8835185059597738,29.68908154545445,0.0,0.0,0.0,0.0,21,-0.5613312226331281,-11.78795567529569,0.8966647138838779,Jordan Ayew → Mohammed Kudus,False
César Montes,Alexis Vega,Mexico,2,1.0482439986270629,2.0964879972541257,7.5,0.6910903038138835,51.613158704545526,0.0,0.0,0.0,0.0,153,0.1535663642749168,23.49565373406227,0.8946776343521461,César Montes → Alexis Vega,False
Hassan Tambakti,Saleh Al-Shehri,Saudi Arabia,1,1.311462612326789,1.311462612326789,5.0,5.313602589822477,22.62594018181804,0.0,0.0,0.0,0.0,31,0.4227200943759495,13.104322925654435,0.8887425179508395,Hassan Tambakti → Saleh Al-Shehri,False
Homam Ahmed,Hasan Al-Haydos,Qatar,4,0.5586489406455892,2.234595762582357,2.75,0.42034633617460526,94.78743694318197,0.0,0.0,0.0,0.0,42,-0.3285353696159787,-13.798485523871104,0.887184310261568,Homam Ahmed → Hasan Al-Haydos,False
Tim Ream,Josh Sargent,United States,3,1.0243899116212811,3.073169734863843,7.0,0.7600719764626357,55.43948463636377,0.0,0.0,0.0,0.0,227,0.13806702292147838,31.34121420317559,0.8863228886998027,Tim Ream → Josh Sargent,False
Ibrahima Konaté,Ousmane Dembele,France,2,0.869906557598501,1.739813115197002,6.5,1.5098768821493518,11.919297227272345,0.5,0.0,0.0,0.0,179,-0.015104968905650102,-2.703789434111368,0.885011526504151,Ibrahima Konaté → Ousmane Dembele,False
Ousmane Dembele,Hugo Lloris,France,1,0.8917872029366285,0.8917872029366285,0.0,4.8664793038037715,47.74704245454534,0.0,0.0,0.0,0.0,104,0.009376874700142758,0.9751949688148468,0.8824103282364857,Ousmane Dembele → Hugo Lloris,False
Xherdan Shaqiri,Rubén Vargas,Switzerland,5,0.6229977988202559,3.1149889941012794,-1.2,4.513516226716007,63.78576819999997,0.0,0.0,0.0,0.0,47,-0.25933830219030085,-12.18890020294414,0.8823361010105567,Xherdan Shaqiri → Rubén Vargas,False
Luke Shaw,Bukayo Saka,England,1,0.9168559020023552,0.9168559020023552,4.0,0.6900186592767716,117.42543990909078,0.0,1.0,1.0,0.0,259,0.03506324213703023,9.08137971349083,0.881792659865325,Luke Shaw → Bukayo Saka,False
Abdul Rahman Baba,Andre Ayew,Ghana,2,0.8786341392352081,1.7572682784704161,6.5,0.40590927648855585,43.92346520454548,0.5,0.0,0.0,0.0,36,-0.0031017010865116495,-0.11166123911441939,0.8817358403217197,Abdul Rahman Baba → Andre Ayew,False
Kieran Trippier,Harry Kane,England,3,0.7868677501005211,2.3606032503015633,6.333333333333333,0.7431895174169445,23.686091939393865,0.3333333333333333,0.0,0.0,0.0,122,-0.09268075203110039,-11.307051747794247,0.8795485021316215,Kieran Trippier → Harry Kane,False
Antonee Robinson,Timothy Weah,United States,1,0.9423769015479144,0.9423769015479144,3.0,1.3947677656425783,99.58868977272746,0.0,0.0,1.0,0.0,115,0.06459047322364751,7.427904420719464,0.8777864283242669,Antonee Robinson → Timothy Weah,False
Ellyes Skhiri,Aymen Dahmen,Tunisia,1,0.9206412937253432,0.9206412937253432,-2.0,26.500609462277502,4.038971045454556,0.0,0.0,0.0,0.0,94,0.04496171455825115,4.226401168475608,0.875679579167092,Ellyes Skhiri → Aymen Dahmen,False
Nampalys Mendy,Boulaye Dia,Senegal,4,0.9632420290334406,3.8529681161337623,4.5,1.7150793334935646,57.80586473863657,0.25,0.0,0.0,0.0,120,0.08862462072455751,10.634954486946901,0.8746174083088831,Nampalys Mendy → Boulaye Dia,False
Nouhou Tolo,Martin Hongla,Cameroon,4,0.7307136097488813,2.9228544389955253,4.25,1.402201030333737,31.01791703409084,0.0,0.0,0.0,0.0,57,-0.14385345632058674,-8.199647010273445,0.8745670660694681,Nouhou Tolo → Martin Hongla,False
